epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,3331.03,0.7476,1.45114,0.56411,1.0048,0.95172,0.95164,0.9866,0.79314,0.94926,0.95007,0.98707,0.68304,0.74105,1.3076,0.45755,0.97799,0.0075448,0.0075448,0.0075448
126,3357.4,0.75484,1.43532,0.56342,1.00508,0.93586,0.95856,0.98575,0.79649,0.92971,0.95876,0.98439,0.68627,0.73431,1.342,0.45727,0.97033,0.007525,0.007525,0.007525
127,3383.97,0.75541,1.45254,0.56214,1.00713,0.92688,0.95738,0.9825,0.79355,0.91851,0.97223,0.98404,0.68449,0.74654,1.32216,0.46357,0.9805,0.0075052,0.0075052,0.0075052
128,3410.53,0.75341,1.45205,0.56759,1.00602,0.95527,0.95119,0.98385,0.79688,0.95527,0.95119,0.98669,0.68754,0.73967,1.32363,0.46598,0.9703,0.0074854,0.0074854,0.0074854
129,3437.16,0.72942,1.4315,0.61466,0.98855,0.93637,0.95976,0.98423,0.79555,0.93587,0.96076,0.9843,0.68306,0.73461,1.32885,0.45921,0.97761,0.0074656,0.0074656,0.0074656
130,3463.54,0.75339,1.45318,0.56992,1.00804,0.97026,0.91879,0.98494,0.79497,0.93652,0.95487,0.98495,0.68872,0.73227,1.30528,0.45143,0.9688,0.0074458,0.0074458,0.0074458
131,3490.16,0.74097,1.4271,0.55257,0.99823,0.95994,0.93678,0.986,0.79678,0.96081,0.93784,0.98715,0.68955,0.71178,1.29719,0.44373,0.96235,0.007426,0.007426,0.007426
132,3516.83,0.7547,1.50217,0.55719,1.00639,0.93675,0.96208,0.9852,0.79765,0.9374,0.95988,0.98607,0.68707,0.72142,1.30457,0.45156,0.95994,0.0074062,0.0074062,0.0074062
133,3544.1,0.73608,1.43553,0.54643,0.9999,0.95136,0.95187,0.98595,0.80147,0.95136,0.95187,0.98603,0.69618,0.71615,1.28026,0.43843,0.96632,0.0073864,0.0073864,0.0073864
134,3570.68,0.73308,1.42673,0.54681,0.99674,0.95508,0.96585,0.98868,0.80359,0.95295,0.96403,0.98654,0.69544,0.71408,1.28709,0.45272,0.96219,0.0073666,0.0073666,0.0073666
135,3597.42,0.75176,1.46815,0.57184,1.0194,0.92209,0.97434,0.98648,0.80301,0.96205,0.94124,0.98519,0.6804,0.71605,1.3137,0.4512,0.96399,0.0073468,0.0073468,0.0073468
136,3624.21,0.74654,1.45898,0.57029,0.99957,0.93161,0.95583,0.98458,0.80448,0.93607,0.96038,0.98612,0.68822,0.71614,1.32541,0.4473,0.97286,0.007327,0.007327,0.007327
137,3651.09,0.73297,1.42741,0.5514,0.99368,0.94378,0.95833,0.98218,0.80515,0.94741,0.96187,0.98222,0.69208,0.68513,1.29335,0.42684,0.94871,0.0073072,0.0073072,0.0073072
138,3677.53,0.73765,1.41875,0.54233,1.00182,0.97103,0.96738,0.98796,0.81441,0.97185,0.96734,0.99085,0.69786,0.68536,1.28493,0.42682,0.94947,0.0072874,0.0072874,0.0072874
139,3704.29,0.73299,1.41377,0.54386,0.9906,0.96565,0.94046,0.9867,0.80321,0.96602,0.94111,0.98717,0.69719,0.70392,1.28137,0.44873,0.95149,0.0072676,0.0072676,0.0072676
140,3730.92,0.732,1.42317,0.55605,0.99938,0.94013,0.96037,0.98221,0.81468,0.94132,0.9616,0.98445,0.70482,0.68528,1.24869,0.42321,0.93858,0.0072478,0.0072478,0.0072478
141,3757.46,0.72486,1.41236,0.53841,0.9919,0.94843,0.97001,0.98916,0.80779,0.95239,0.96338,0.98947,0.69901,0.68408,1.26016,0.43266,0.94305,0.007228,0.007228,0.007228
142,3784.25,0.73051,1.4187,0.54143,0.99358,0.94907,0.95138,0.98069,0.80981,0.9542,0.95509,0.98711,0.69495,0.67228,1.26449,0.43622,0.93137,0.0072082,0.0072082,0.0072082
143,3810.85,0.71734,1.4065,0.5371,0.98425,0.95538,0.95372,0.98468,0.80631,0.95583,0.95483,0.98464,0.70087,0.70386,1.28762,0.42274,0.95655,0.0071884,0.0071884,0.0071884
144,3837.5,0.72005,1.39963,0.5346,0.98874,0.96752,0.94406,0.98744,0.80761,0.96752,0.94406,0.9877,0.69307,0.70658,1.26521,0.43484,0.96013,0.0071686,0.0071686,0.0071686
145,3864.52,0.72782,1.40006,0.54247,0.99581,0.9747,0.94365,0.98696,0.81219,0.97621,0.94654,0.98869,0.70643,0.69806,1.2688,0.43107,0.95635,0.0071488,0.0071488,0.0071488
146,3891.17,0.72484,1.41657,0.55008,0.99022,0.94538,0.96235,0.98665,0.80434,0.94914,0.94487,0.98691,0.69896,0.68354,1.252,0.43476,0.94645,0.007129,0.007129,0.007129
147,3918.48,0.70196,1.38654,0.54308,0.97807,0.95382,0.95926,0.98567,0.81396,0.9504,0.96272,0.98807,0.70532,0.68758,1.25045,0.42265,0.94755,0.0071092,0.0071092,0.0071092
148,3945.13,0.72582,1.4083,0.543,0.9882,0.95562,0.96027,0.98697,0.80868,0.95167,0.95589,0.98466,0.70293,0.68392,1.24304,0.42202,0.95086,0.0070894,0.0070894,0.0070894
149,3971.45,0.71038,1.38262,0.52756,0.99311,0.9486,0.9563,0.9843,0.80764,0.94796,0.96028,0.98767,0.69105,0.69103,1.29639,0.43579,0.95432,0.0070696,0.0070696,0.0070696
150,3998.09,0.72202,1.39257,0.52949,0.99082,0.94616,0.97627,0.9857,0.81436,0.93943,0.9777,0.98843,0.69436,0.65205,1.25522,0.41251,0.92557,0.0070498,0.0070498,0.0070498
151,4024.73,0.71851,1.39687,0.53211,0.99005,0.92971,0.96952,0.98597,0.8117,0.9634,0.94264,0.98909,0.69929,0.68432,1.27243,0.42381,0.94694,0.00703,0.00703,0.00703
152,4051.38,0.70258,1.3903,0.53167,0.98458,0.95185,0.96436,0.98967,0.81355,0.9541,0.96395,0.98817,0.71108,0.66105,1.22513,0.40989,0.93305,0.0070102,0.0070102,0.0070102
153,4077.87,0.69573,1.3796,0.53145,0.9757,0.92698,0.96526,0.98725,0.81448,0.92336,0.96198,0.98607,0.69695,0.65245,1.25907,0.41509,0.93278,0.0069904,0.0069904,0.0069904
154,4104.47,0.71608,1.39262,0.52853,0.99867,0.9554,0.97144,0.98506,0.81939,0.95602,0.96726,0.98847,0.70094,0.65385,1.24228,0.41052,0.93281,0.0069706,0.0069706,0.0069706
155,4131.11,0.70151,1.41472,0.54799,0.98404,0.93742,0.9608,0.98507,0.81949,0.93866,0.96192,0.98792,0.70117,0.66831,1.28069,0.42168,0.94108,0.0069508,0.0069508,0.0069508
156,4157.83,0.70617,1.37939,0.52622,0.98127,0.95162,0.9597,0.98729,0.82764,0.94889,0.95768,0.98612,0.71097,0.65445,1.22243,0.41781,0.92927,0.006931,0.006931,0.006931
157,4184.27,0.7037,1.37549,0.52354,0.98664,0.9697,0.93436,0.98357,0.82651,0.96804,0.93628,0.98515,0.7037,0.64997,1.24863,0.41199,0.9262,0.0069112,0.0069112,0.0069112
158,4210.9,0.70066,1.36798,0.5182,0.98706,0.94285,0.95832,0.98438,0.81621,0.95122,0.95054,0.9847,0.70406,0.67197,1.25119,0.421,0.93874,0.0068914,0.0068914,0.0068914
159,4237.56,0.69319,1.36394,0.51533,0.98187,0.95573,0.96512,0.98338,0.81777,0.95463,0.96412,0.98343,0.70313,0.65081,1.20791,0.40627,0.92768,0.0068716,0.0068716,0.0068716
160,4264.54,0.71098,1.3714,0.54246,0.99122,0.96692,0.95668,0.98938,0.82657,0.96401,0.95335,0.98913,0.71361,0.65461,1.20775,0.40802,0.93161,0.0068518,0.0068518,0.0068518
161,4291.21,0.70256,1.36224,0.5152,0.98223,0.96021,0.92889,0.98244,0.81232,0.94024,0.95044,0.98325,0.70519,0.6504,1.22268,0.41446,0.9322,0.006832,0.006832,0.006832
162,4317.9,0.70065,1.38774,0.5337,0.98511,0.9421,0.97663,0.98969,0.82905,0.93951,0.96861,0.98804,0.71064,0.64126,1.23116,0.39914,0.92572,0.0068122,0.0068122,0.0068122
163,4344.88,0.69372,1.35498,0.5099,0.97786,0.95634,0.97311,0.99039,0.83218,0.95965,0.97643,0.99147,0.7124,0.62997,1.20895,0.39128,0.91479,0.0067924,0.0067924,0.0067924
164,4371.36,0.69578,1.36652,0.5234,0.98318,0.93261,0.97581,0.98905,0.83311,0.93463,0.98107,0.98936,0.71337,0.62114,1.19955,0.39359,0.91357,0.0067726,0.0067726,0.0067726
165,4398.11,0.68967,1.33803,0.50937,0.97825,0.96911,0.96668,0.99043,0.83312,0.96889,0.95983,0.98963,0.71864,0.62758,1.18843,0.39762,0.91274,0.0067528,0.0067528,0.0067528
166,4425.51,0.69169,1.35041,0.52106,0.97249,0.94499,0.97655,0.98947,0.82664,0.94499,0.97655,0.98918,0.71394,0.62884,1.19435,0.3967,0.91787,0.006733,0.006733,0.006733
167,4452.1,0.699,1.34301,0.50428,0.98305,0.95989,0.96083,0.98824,0.82232,0.96444,0.96538,0.98913,0.70635,0.63426,1.20965,0.40779,0.92035,0.0067132,0.0067132,0.0067132
168,4478.43,0.68309,1.33794,0.50639,0.97443,0.96281,0.96256,0.98538,0.82229,0.95768,0.96607,0.98797,0.70807,0.64611,1.21798,0.40844,0.93369,0.0066934,0.0066934,0.0066934
169,4505.09,0.68596,1.34472,0.50644,0.9725,0.96374,0.94297,0.98672,0.83201,0.94905,0.96744,0.98764,0.71187,0.63558,1.21676,0.40458,0.91876,0.0066736,0.0066736,0.0066736
170,4531.85,0.67338,1.32758,0.48999,0.96778,0.95188,0.98104,0.98981,0.8317,0.94991,0.97895,0.9899,0.71183,0.63933,1.20186,0.3959,0.91805,0.0066538,0.0066538,0.0066538
171,4558.65,0.67362,1.34292,0.50221,0.97054,0.96291,0.95576,0.98915,0.83703,0.96103,0.95742,0.98892,0.71669,0.63029,1.19574,0.39245,0.91744,0.006634,0.006634,0.006634
172,4585.45,0.69473,1.35692,0.51297,0.98376,0.96429,0.9621,0.99036,0.83145,0.96589,0.96107,0.98858,0.71324,0.62883,1.20062,0.39296,0.92175,0.0066142,0.0066142,0.0066142
173,4612.14,0.69564,1.34549,0.51207,0.97764,0.96719,0.97914,0.99137,0.83545,0.96544,0.97543,0.99042,0.7126,0.63657,1.19158,0.39513,0.92309,0.0065944,0.0065944,0.0065944
174,4638.72,0.67889,1.32894,0.50111,0.9791,0.96204,0.96234,0.98615,0.83332,0.96398,0.96526,0.98786,0.71378,0.62309,1.18931,0.39883,0.91617,0.0065746,0.0065746,0.0065746
175,4665.1,0.68483,1.33189,0.50268,0.97432,0.94244,0.9882,0.99052,0.83288,0.94207,0.98668,0.98988,0.70996,0.62981,1.18016,0.39817,0.91932,0.0065548,0.0065548,0.0065548
176,4691.82,0.6821,1.31111,0.50773,0.96716,0.96441,0.96232,0.99129,0.83099,0.96127,0.95923,0.98973,0.71041,0.62725,1.18236,0.39139,0.91039,0.006535,0.006535,0.006535
177,4718.54,0.69366,1.32675,0.50007,0.98292,0.96752,0.97015,0.98716,0.82246,0.96326,0.96227,0.98799,0.71402,0.63168,1.18706,0.39589,0.91591,0.0065152,0.0065152,0.0065152
178,4745.42,0.68044,1.32219,0.49648,0.97567,0.95,0.98564,0.98816,0.83518,0.94818,0.98289,0.98833,0.71927,0.61578,1.17129,0.38747,0.90444,0.0064954,0.0064954,0.0064954
179,4771.81,0.68209,1.33558,0.52403,0.97478,0.97362,0.95771,0.99012,0.83432,0.97382,0.95745,0.98946,0.71574,0.62094,1.20354,0.38767,0.91042,0.0064756,0.0064756,0.0064756
180,4798.5,0.68486,1.33373,0.5064,0.97673,0.97849,0.97021,0.9909,0.83653,0.97685,0.96818,0.99005,0.71706,0.62432,1.18757,0.38585,0.91781,0.0064558,0.0064558,0.0064558
181,4825.6,0.67517,1.32496,0.49748,0.97477,0.96921,0.98156,0.99016,0.83359,0.96292,0.97516,0.98863,0.71417,0.63386,1.19281,0.38745,0.91951,0.006436,0.006436,0.006436
182,4851.97,0.68648,1.35752,0.49326,0.982,0.97881,0.96224,0.98859,0.83456,0.97518,0.95819,0.9878,0.72045,0.6269,1.18608,0.39092,0.91405,0.0064162,0.0064162,0.0064162
183,4878.73,0.66803,1.31078,0.48778,0.96835,0.96448,0.98876,0.98924,0.84533,0.95978,0.97946,0.98773,0.72462,0.61642,1.16547,0.3757,0.90813,0.0063964,0.0063964,0.0063964
184,4905.47,0.67366,1.31279,0.49009,0.96569,0.96811,0.9756,0.99008,0.84022,0.97622,0.96073,0.98955,0.71887,0.61277,1.17289,0.38495,0.91227,0.0063766,0.0063766,0.0063766
185,4932.14,0.67678,1.31149,0.48683,0.97655,0.9789,0.96436,0.99182,0.8428,0.9753,0.95977,0.99092,0.7233,0.60928,1.16408,0.37883,0.90799,0.0063568,0.0063568,0.0063568
186,4958.65,0.66627,1.30617,0.48609,0.96799,0.9727,0.96721,0.98959,0.84027,0.96864,0.96776,0.98639,0.7223,0.61601,1.17854,0.3818,0.90883,0.006337,0.006337,0.006337
187,4985.3,0.66576,1.32483,0.49535,0.96696,0.97335,0.95884,0.99015,0.84093,0.97122,0.95675,0.98821,0.72018,0.61277,1.16322,0.38644,0.90955,0.0063172,0.0063172,0.0063172
188,5011.95,0.66623,1.30019,0.48595,0.96793,0.97357,0.96123,0.99106,0.84618,0.97049,0.95814,0.99046,0.72695,0.61126,1.16138,0.37641,0.90501,0.0062974,0.0062974,0.0062974
189,5039.07,0.67515,1.32045,0.51031,0.97049,0.9798,0.96772,0.99153,0.85102,0.97707,0.96329,0.99121,0.72856,0.61108,1.15764,0.37174,0.91052,0.0062776,0.0062776,0.0062776
190,5065.67,0.66753,1.29755,0.48483,0.96839,0.97414,0.95672,0.99043,0.8407,0.97414,0.95672,0.99025,0.72049,0.62265,1.17288,0.37842,0.91672,0.0062578,0.0062578,0.0062578
191,5092.9,0.66527,1.28968,0.48213,0.98057,0.98088,0.96723,0.99112,0.84518,0.97785,0.9637,0.99042,0.72716,0.60915,1.15991,0.38116,0.91188,0.006238,0.006238,0.006238
192,5119.6,0.65816,1.29468,0.48287,0.95962,0.9707,0.963,0.99028,0.84458,0.96758,0.95991,0.98995,0.72503,0.61473,1.16905,0.38483,0.91765,0.0062182,0.0062182,0.0062182
193,5146,0.66162,1.29154,0.48843,0.96448,0.97466,0.97039,0.99121,0.8501,0.96828,0.96462,0.9897,0.73063,0.60873,1.16061,0.37222,0.90505,0.0061984,0.0061984,0.0061984
194,5172.73,0.65107,1.28275,0.49157,0.96157,0.98195,0.96384,0.99248,0.84842,0.98248,0.96517,0.99244,0.72791,0.5957,1.15579,0.36639,0.90144,0.0061786,0.0061786,0.0061786
195,5199.44,0.65048,1.29516,0.48021,0.96408,0.9674,0.96767,0.99076,0.85097,0.96817,0.96583,0.99058,0.73048,0.59399,1.16001,0.37002,0.90009,0.0061588,0.0061588,0.0061588
196,5226.34,0.66189,1.29351,0.48658,0.95925,0.95989,0.97642,0.99088,0.84998,0.96,0.97581,0.99148,0.73541,0.59495,1.15024,0.37462,0.90093,0.006139,0.006139,0.006139
197,5252.83,0.66115,1.31729,0.50281,0.97375,0.96611,0.96448,0.99093,0.84929,0.96857,0.96008,0.99081,0.73467,0.60399,1.15421,0.37394,0.91282,0.0061192,0.0061192,0.0061192
198,5279.52,0.66419,1.2796,0.49652,0.97002,0.97548,0.95855,0.99081,0.84566,0.97736,0.95813,0.99084,0.7265,0.60659,1.1575,0.37872,0.91633,0.0060994,0.0060994,0.0060994
199,5306.21,0.6503,1.28341,0.48223,0.96498,0.96155,0.97778,0.99154,0.85085,0.96614,0.96843,0.99153,0.7298,0.59517,1.16329,0.3749,0.90024,0.0060796,0.0060796,0.0060796
200,5333.12,0.64983,1.28368,0.46904,0.96424,0.97396,0.97135,0.99154,0.85219,0.97062,0.96603,0.99052,0.72791,0.59231,1.15841,0.37527,0.90065,0.0060598,0.0060598,0.0060598
201,5359.79,0.64215,1.27753,0.46911,0.95603,0.9645,0.98529,0.99196,0.85334,0.95726,0.98316,0.99152,0.72726,0.58933,1.14972,0.36991,0.89817,0.00604,0.00604,0.00604
202,5386.45,0.649,1.26565,0.47434,0.96089,0.97678,0.97075,0.99131,0.85195,0.97809,0.9657,0.99143,0.73312,0.59005,1.15242,0.36549,0.88945,0.0060202,0.0060202,0.0060202
203,5413.18,0.65177,1.30799,0.49065,0.96435,0.96136,0.9832,0.99197,0.85583,0.96773,0.96764,0.99094,0.73668,0.58596,1.14618,0.36428,0.89089,0.0060004,0.0060004,0.0060004
204,5439.72,0.63808,1.25876,0.46025,0.95952,0.96698,0.9706,0.99072,0.85129,0.96768,0.96572,0.99054,0.72727,0.58866,1.1509,0.36531,0.89692,0.0059806,0.0059806,0.0059806
205,5466.4,0.64388,1.26689,0.4652,0.95792,0.96266,0.98308,0.99114,0.85002,0.96146,0.98184,0.99098,0.73354,0.59461,1.13843,0.36411,0.89983,0.0059608,0.0059608,0.0059608
206,5493.08,0.64522,1.24995,0.48442,0.9607,0.96073,0.98321,0.98937,0.85543,0.95952,0.98198,0.98855,0.73498,0.58877,1.13254,0.36154,0.8979,0.005941,0.005941,0.005941
207,5519.83,0.65549,1.25274,0.47375,0.97064,0.971,0.97611,0.98943,0.8525,0.97069,0.97322,0.98841,0.73056,0.58892,1.14733,0.36513,0.89525,0.0059212,0.0059212,0.0059212
208,5546.19,0.64786,1.28896,0.47564,0.96849,0.96634,0.97719,0.98819,0.84489,0.96634,0.97719,0.98741,0.72084,0.60025,1.14969,0.3729,0.90475,0.0059014,0.0059014,0.0059014
209,5572.86,0.63962,1.27449,0.47395,0.9563,0.96822,0.97059,0.99085,0.85115,0.9675,0.96895,0.99065,0.73105,0.58232,1.136,0.37351,0.89079,0.0058816,0.0058816,0.0058816
210,5599.61,0.62972,1.25929,0.47357,0.94776,0.96993,0.98066,0.99184,0.85012,0.96625,0.97586,0.99029,0.73164,0.58041,1.131,0.36662,0.89225,0.0058618,0.0058618,0.0058618
211,5625.97,0.63943,1.26444,0.46915,0.95239,0.9714,0.97921,0.99059,0.85241,0.96672,0.97507,0.98945,0.73711,0.58658,1.13461,0.3668,0.89578,0.005842,0.005842,0.005842
212,5652.68,0.62671,1.23661,0.46228,0.9534,0.97857,0.97736,0.99292,0.85627,0.97427,0.97304,0.99275,0.73839,0.58077,1.12017,0.363,0.89468,0.0058222,0.0058222,0.0058222
213,5680.21,0.63956,1.25735,0.47199,0.95777,0.97889,0.98091,0.99318,0.86117,0.97585,0.97435,0.99246,0.74199,0.57327,1.11808,0.35218,0.89078,0.0058024,0.0058024,0.0058024
214,5708.4,0.63975,1.28582,0.49538,0.96156,0.98318,0.96559,0.9925,0.86437,0.9844,0.96209,0.99187,0.73905,0.56794,1.11269,0.35441,0.88611,0.0057826,0.0057826,0.0057826
215,5734.68,0.62943,1.25584,0.4605,0.9556,0.96968,0.98028,0.99282,0.85646,0.9669,0.97627,0.99238,0.7429,0.57046,1.11269,0.35189,0.88832,0.0057628,0.0057628,0.0057628
216,5761.34,0.65366,1.26564,0.47533,0.96909,0.98166,0.97432,0.99276,0.85587,0.9805,0.96546,0.9919,0.73934,0.57461,1.11606,0.35147,0.89339,0.005743,0.005743,0.005743
217,5787.98,0.62053,1.23698,0.45124,0.95343,0.97088,0.9832,0.99303,0.86137,0.9716,0.97728,0.99219,0.74341,0.57632,1.11704,0.34486,0.89359,0.0057232,0.0057232,0.0057232
218,5814.74,0.64091,1.27149,0.46842,0.95927,0.95985,0.9901,0.99286,0.85928,0.95855,0.98755,0.99229,0.73606,0.57271,1.12254,0.34638,0.88923,0.0057034,0.0057034,0.0057034
219,5841.16,0.62309,1.23247,0.461,0.95158,0.9835,0.9812,0.9927,0.8559,0.98069,0.97475,0.99198,0.73629,0.57261,1.10539,0.34862,0.88846,0.0056836,0.0056836,0.0056836
220,5867.89,0.63178,1.26025,0.46485,0.95321,0.96915,0.9913,0.99286,0.85395,0.96684,0.98686,0.99255,0.73228,0.57511,1.10346,0.3526,0.89155,0.0056638,0.0056638,0.0056638
221,5894.64,0.62728,1.23418,0.45868,0.95106,0.96734,0.98261,0.99223,0.86277,0.96734,0.98261,0.99218,0.7379,0.56895,1.11123,0.34941,0.89119,0.005644,0.005644,0.005644
222,5921.21,0.63104,1.26224,0.45627,0.95264,0.9736,0.98683,0.99317,0.86642,0.9736,0.98683,0.9927,0.73928,0.56778,1.10059,0.34013,0.88656,0.0056242,0.0056242,0.0056242
223,5948.07,0.63085,1.23246,0.45892,0.95575,0.96725,0.98065,0.99174,0.86127,0.96679,0.97554,0.99058,0.7327,0.56826,1.10744,0.3468,0.89043,0.0056044,0.0056044,0.0056044
224,5975.07,0.62457,1.2408,0.46163,0.95147,0.96127,0.97838,0.99184,0.86532,0.96177,0.9781,0.99159,0.73752,0.56398,1.11064,0.35219,0.89092,0.0055846,0.0055846,0.0055846
225,6001.7,0.62501,1.22718,0.44894,0.94713,0.95726,0.98362,0.99138,0.86351,0.95726,0.98362,0.99187,0.7387,0.5646,1.10383,0.35441,0.89005,0.0055648,0.0055648,0.0055648
226,6028.12,0.63444,1.24947,0.45966,0.95336,0.9696,0.98708,0.99188,0.86619,0.965,0.98245,0.99217,0.74474,0.55823,1.09563,0.35014,0.88603,0.005545,0.005545,0.005545
227,6055.06,0.62496,1.24506,0.47986,0.94732,0.97931,0.97985,0.99248,0.86347,0.97622,0.97309,0.99247,0.74183,0.56115,1.0922,0.34842,0.89468,0.0055252,0.0055252,0.0055252
228,6081.73,0.62414,1.22975,0.48195,0.94742,0.96697,0.98525,0.99195,0.86394,0.96159,0.98345,0.99188,0.74229,0.55719,1.09592,0.35115,0.88753,0.0055054,0.0055054,0.0055054
229,6108.8,0.62461,1.22342,0.46322,0.94724,0.96377,0.99045,0.99247,0.86135,0.97308,0.96578,0.99234,0.74026,0.55674,1.0944,0.35249,0.88487,0.0054856,0.0054856,0.0054856
230,6135.18,0.61663,1.22737,0.44559,0.94869,0.97032,0.99034,0.99218,0.86259,0.96403,0.98394,0.99184,0.74542,0.54893,1.08754,0.34867,0.88073,0.0054658,0.0054658,0.0054658
231,6161.9,0.61924,1.21846,0.44583,0.94865,0.97095,0.98205,0.99225,0.86222,0.98122,0.96495,0.99213,0.74292,0.54907,1.09244,0.34927,0.88138,0.005446,0.005446,0.005446
232,6188.55,0.62097,1.23574,0.44897,0.94951,0.97587,0.98725,0.99277,0.86369,0.97469,0.98602,0.99266,0.74481,0.54804,1.09118,0.34603,0.8818,0.0054262,0.0054262,0.0054262
233,6214.96,0.61681,1.21486,0.48807,0.94241,0.97456,0.99337,0.99288,0.86463,0.96877,0.98671,0.99236,0.74513,0.55355,1.09443,0.34502,0.88313,0.0054064,0.0054064,0.0054064
234,6241.59,0.62214,1.24069,0.46419,0.95504,0.97802,0.97271,0.9928,0.8711,0.97759,0.96962,0.99234,0.7479,0.54468,1.09109,0.33735,0.87715,0.0053866,0.0053866,0.0053866
235,6268.39,0.61029,1.19833,0.45047,0.94138,0.98488,0.98464,0.99373,0.87136,0.9881,0.97471,0.99303,0.74689,0.54135,1.09364,0.33469,0.87771,0.0053668,0.0053668,0.0053668
236,6295.06,0.6211,1.22755,0.45608,0.95022,0.97944,0.98416,0.99344,0.87209,0.97766,0.981,0.99312,0.74426,0.54496,1.09982,0.33925,0.87881,0.005347,0.005347,0.005347
237,6321.5,0.62141,1.22061,0.44981,0.94519,0.9772,0.98052,0.99134,0.86811,0.97864,0.9816,0.99316,0.74698,0.54521,1.09702,0.34224,0.88092,0.0053272,0.0053272,0.0053272
238,6348.15,0.60676,1.21021,0.43813,0.94252,0.98608,0.97862,0.99363,0.86761,0.99174,0.97558,0.99389,0.74892,0.54668,1.08959,0.34003,0.88215,0.0053074,0.0053074,0.0053074
239,6375.23,0.62522,1.24549,0.45928,0.96123,0.97873,0.98769,0.99387,0.86952,0.98216,0.97935,0.99363,0.75128,0.54494,1.09154,0.34011,0.88063,0.0052876,0.0052876,0.0052876
240,6402.27,0.63123,1.28535,0.47633,0.97245,0.98536,0.98297,0.99392,0.87474,0.98188,0.9797,0.99385,0.75182,0.54121,1.08883,0.33736,0.87448,0.0052678,0.0052678,0.0052678
241,6428.95,0.61214,1.22208,0.4615,0.94887,0.97807,0.98223,0.99332,0.88076,0.97913,0.98448,0.9933,0.75601,0.53183,1.08267,0.33682,0.87103,0.005248,0.005248,0.005248
242,6455.63,0.61333,1.22603,0.45672,0.94941,0.98071,0.97135,0.99367,0.8782,0.97077,0.98385,0.99373,0.74919,0.53017,1.08191,0.32893,0.87096,0.0052282,0.0052282,0.0052282
243,6482.3,0.6062,1.20966,0.44129,0.94754,0.97122,0.98372,0.99326,0.8754,0.97253,0.98682,0.99347,0.74804,0.53902,1.08262,0.33528,0.87884,0.0052084,0.0052084,0.0052084
244,6508.66,0.61141,1.20166,0.44444,0.9429,0.96769,0.99012,0.99262,0.87046,0.95998,0.99091,0.9924,0.74829,0.53751,1.08311,0.33716,0.87718,0.0051886,0.0051886,0.0051886
245,6535.56,0.60759,1.21124,0.44503,0.94644,0.97645,0.98744,0.99339,0.87041,0.97033,0.98908,0.99325,0.74695,0.54347,1.08843,0.34026,0.87958,0.0051688,0.0051688,0.0051688
246,6562.19,0.61261,1.22053,0.54173,0.94899,0.97864,0.97876,0.99208,0.87018,0.97946,0.97961,0.99353,0.748,0.5418,1.08176,0.33513,0.87955,0.005149,0.005149,0.005149
247,6588.9,0.60776,1.19768,0.45095,0.9432,0.97251,0.98405,0.99365,0.86952,0.96596,0.98837,0.99339,0.74963,0.54142,1.08594,0.33373,0.87843,0.0051292,0.0051292,0.0051292
248,6615.27,0.61019,1.2095,0.43802,0.9415,0.98747,0.9764,0.99376,0.87274,0.97446,0.97737,0.99288,0.75198,0.54254,1.08213,0.33262,0.87707,0.0051094,0.0051094,0.0051094
249,6642.34,0.60647,1.18822,0.43714,0.93816,0.97573,0.97943,0.99364,0.87665,0.97636,0.97924,0.99358,0.75204,0.53946,1.07542,0.32653,0.87416,0.0050896,0.0050896,0.0050896
250,6669.34,0.60238,1.18197,0.46167,0.94225,0.97678,0.99223,0.99377,0.87566,0.97556,0.991,0.99372,0.75382,0.53441,1.077,0.3225,0.87116,0.0050698,0.0050698,0.0050698
251,6695.66,0.59808,1.18704,0.43233,0.94445,0.97994,0.98651,0.99393,0.87376,0.97903,0.98512,0.99391,0.75582,0.53407,1.07595,0.3232,0.87188,0.00505,0.00505,0.00505
252,6722.34,0.61192,1.22107,0.45641,0.94581,0.98557,0.98027,0.99375,0.87374,0.98486,0.97924,0.9937,0.75868,0.53293,1.07112,0.32512,0.87342,0.0050302,0.0050302,0.0050302
253,6749.08,0.59584,1.19388,0.43378,0.93976,0.97661,0.98424,0.99419,0.87031,0.98862,0.97135,0.99412,0.75682,0.53738,1.07275,0.32796,0.87425,0.0050104,0.0050104,0.0050104
254,6776.14,0.59828,1.19972,0.44077,0.94089,0.98456,0.98317,0.99423,0.87346,0.98408,0.9817,0.9942,0.75617,0.5336,1.0758,0.32795,0.87286,0.0049906,0.0049906,0.0049906
255,6802.71,0.61292,1.20659,0.43613,0.94779,0.98934,0.9845,0.99433,0.87155,0.98623,0.97977,0.99338,0.75492,0.53228,1.07608,0.32816,0.87244,0.0049708,0.0049708,0.0049708
256,6829.35,0.59921,1.19476,0.4366,0.94275,0.98754,0.98232,0.99421,0.87664,0.9803,0.98457,0.99354,0.76257,0.52533,1.06175,0.32854,0.87179,0.004951,0.004951,0.004951
