epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,810.819,1.13776,2.04991,1.06394,1.22288,0.69594,0.69033,0.72511,0.45394,0.70309,0.69641,0.7333,0.38583,1.24809,2.07828,1.19754,1.33473,0.0094258,0.0094258,0.0094258
31,837.277,1.11402,2.02698,1.03572,1.20556,0.75651,0.73156,0.79632,0.50204,0.76668,0.74487,0.81039,0.44535,1.23117,1.92793,1.11242,1.34656,0.009406,0.009406,0.009406
32,864.176,1.11159,2.03343,1.02623,1.21294,0.76607,0.73512,0.81962,0.52096,0.74138,0.72626,0.79494,0.42819,1.1963,2.05187,0.98825,1.30079,0.0093862,0.0093862,0.0093862
33,890.515,1.10459,2.00866,0.99848,1.19655,0.73461,0.76182,0.79281,0.497,0.73063,0.76602,0.79371,0.42982,1.25023,2.0341,1.04421,1.31896,0.0093664,0.0093664,0.0093664
34,916.79,1.0974,1.98436,0.98633,1.20488,0.83331,0.74953,0.86637,0.52932,0.80244,0.76866,0.85164,0.46642,1.21601,1.92944,0.99661,1.31718,0.0093466,0.0093466,0.0093466
35,943.207,1.08744,1.98981,0.98612,1.1867,0.7385,0.71217,0.77565,0.47053,0.73108,0.70499,0.77283,0.40114,1.34094,2.19236,1.11956,1.39153,0.0093268,0.0093268,0.0093268
36,969.749,1.0631,1.94719,0.94849,1.17269,0.81587,0.76843,0.85972,0.55529,0.79337,0.7913,0.86231,0.48566,1.18816,1.88527,0.91316,1.29067,0.009307,0.009307,0.009307
37,996.026,1.07612,1.96487,0.96309,1.18239,0.77069,0.72933,0.82101,0.52151,0.79377,0.7222,0.82263,0.45527,1.23746,1.98759,1.0315,1.34322,0.0092872,0.0092872,0.0092872
38,1022.81,1.06021,1.96215,0.94855,1.17857,0.81543,0.73691,0.83893,0.54795,0.81126,0.73082,0.82937,0.46592,1.17044,1.89204,0.91275,1.28473,0.0092674,0.0092674,0.0092674
39,1049.09,1.06059,1.93204,0.92327,1.16669,0.79481,0.76227,0.8485,0.5237,0.80184,0.76975,0.85431,0.46595,1.22941,1.89886,0.9929,1.31486,0.0092476,0.0092476,0.0092476
40,1075.47,1.05954,1.91938,0.95205,1.17387,0.80335,0.79342,0.85613,0.55885,0.80031,0.78853,0.85171,0.48449,1.15307,1.82778,0.94723,1.24655,0.0092278,0.0092278,0.0092278
41,1101.68,1.04773,1.92777,0.91992,1.16668,0.7628,0.81016,0.85292,0.56356,0.76617,0.80103,0.85404,0.48628,1.13019,1.84417,0.92565,1.23861,0.009208,0.009208,0.009208
42,1127.88,1.02882,1.88332,0.89017,1.148,0.79994,0.79358,0.85674,0.56045,0.79847,0.79705,0.8462,0.46944,1.15869,2.02022,0.90224,1.27133,0.0091882,0.0091882,0.0091882
43,1154,1.04943,1.92871,0.90223,1.17106,0.80239,0.77555,0.84214,0.55598,0.80913,0.78077,0.84403,0.47956,1.14374,1.80369,0.90563,1.24336,0.0091684,0.0091684,0.0091684
44,1180.33,1.04406,1.90258,0.89419,1.15711,0.82814,0.82316,0.88152,0.59407,0.82891,0.81088,0.8695,0.5116,1.13181,1.79823,0.81309,1.23819,0.0091486,0.0091486,0.0091486
45,1206.65,1.01126,1.87961,0.86367,1.1444,0.82044,0.76318,0.86194,0.58296,0.84185,0.7715,0.87213,0.50747,1.09423,1.7758,0.86909,1.21977,0.0091288,0.0091288,0.0091288
46,1233.01,1.01219,1.8621,0.86469,1.14659,0.82824,0.81708,0.89284,0.59947,0.81011,0.84454,0.88735,0.51551,1.09542,1.78872,0.79213,1.20866,0.009109,0.009109,0.009109
47,1259.25,1.01121,1.87018,0.85135,1.14046,0.80862,0.84164,0.88509,0.58654,0.81149,0.83233,0.87899,0.51868,1.1057,1.75626,0.8018,1.22088,0.0090892,0.0090892,0.0090892
48,1285.67,1.00561,1.85249,0.84383,1.13995,0.8335,0.82222,0.88378,0.59835,0.83156,0.81519,0.88549,0.52284,1.10108,1.75812,0.815,1.22204,0.0090694,0.0090694,0.0090694
49,1312.13,0.98484,1.83661,0.83902,1.13108,0.8381,0.83625,0.89838,0.61821,0.85916,0.83349,0.90318,0.53545,1.06488,1.76685,0.7994,1.19684,0.0090496,0.0090496,0.0090496
50,1338.39,0.997,1.84613,0.83788,1.13994,0.84903,0.81685,0.90691,0.59778,0.8408,0.7962,0.89236,0.52534,1.11406,1.73466,0.79257,1.23364,0.0090298,0.0090298,0.0090298
51,1364.72,0.99202,1.82404,0.82605,1.13113,0.85841,0.8143,0.91052,0.62803,0.86136,0.83404,0.91407,0.54354,1.06083,1.7481,0.75938,1.18943,0.00901,0.00901,0.00901
52,1391.08,0.97394,1.8169,0.81507,1.11484,0.83028,0.87808,0.9144,0.63062,0.84741,0.84513,0.91045,0.54367,1.0543,1.71516,0.7308,1.18575,0.0089902,0.0089902,0.0089902
53,1417.83,0.97838,1.80283,0.80301,1.11863,0.83675,0.82351,0.90378,0.61576,0.84743,0.81997,0.90787,0.53205,1.05048,1.70739,0.79448,1.18224,0.0089704,0.0089704,0.0089704
54,1444.23,0.95182,1.78536,0.78154,1.11259,0.84879,0.76426,0.88546,0.59187,0.87021,0.77466,0.89372,0.51988,1.13418,1.79828,0.82575,1.25199,0.0089506,0.0089506,0.0089506
55,1470.66,0.95705,1.75264,0.78699,1.11294,0.87321,0.85201,0.93299,0.65533,0.87205,0.84487,0.92744,0.55794,1.00452,1.68009,0.72631,1.14573,0.0089308,0.0089308,0.0089308
56,1497.53,0.95269,1.79932,0.79877,1.11369,0.82847,0.82614,0.90337,0.62172,0.8505,0.81515,0.90089,0.53494,1.0399,1.72423,0.76414,1.17382,0.008911,0.008911,0.008911
57,1523.73,0.94808,1.78951,0.77349,1.10885,0.84418,0.84434,0.91057,0.62262,0.84084,0.85271,0.9111,0.54452,1.05793,1.69466,0.73416,1.18573,0.0088912,0.0088912,0.0088912
58,1550.36,0.93671,1.76187,0.77289,1.09731,0.89311,0.86908,0.9358,0.65055,0.89383,0.86663,0.93896,0.57247,0.9968,1.61391,0.70868,1.13476,0.0088714,0.0088714,0.0088714
59,1576.9,0.94771,1.77917,0.76234,1.10517,0.86767,0.84971,0.92561,0.65776,0.88117,0.86631,0.93577,0.57098,0.98947,1.63447,0.69991,1.14515,0.0088516,0.0088516,0.0088516
60,1603.41,0.93549,1.73541,0.76245,1.09965,0.88243,0.86614,0.93049,0.65938,0.87704,0.85593,0.92818,0.56466,0.98075,1.63214,0.68892,1.13805,0.0088318,0.0088318,0.0088318
61,1629.67,0.93549,1.75389,0.76319,1.10148,0.8698,0.87118,0.92273,0.65002,0.87769,0.88268,0.93158,0.56516,1.00355,1.64757,0.72038,1.13853,0.008812,0.008812,0.008812
62,1656.1,0.92674,1.7575,0.76504,1.09356,0.86511,0.86765,0.91785,0.63632,0.87167,0.85671,0.92014,0.55196,1.04995,1.68222,0.70218,1.19006,0.0087922,0.0087922,0.0087922
63,1682.5,0.92871,1.73604,0.73898,1.09328,0.86251,0.89142,0.93749,0.66193,0.8672,0.87783,0.9396,0.5764,1.01835,1.66002,0.66971,1.16115,0.0087724,0.0087724,0.0087724
64,1708.99,0.92768,1.75909,0.74819,1.09037,0.8631,0.88213,0.93251,0.65464,0.86487,0.87549,0.93276,0.56896,1.01023,1.63014,0.6923,1.15541,0.0087526,0.0087526,0.0087526
65,1735.2,0.90658,1.71139,0.72894,1.091,0.87804,0.9083,0.95002,0.69386,0.88715,0.90517,0.95301,0.58951,0.93517,1.60803,0.61969,1.10721,0.0087328,0.0087328,0.0087328
66,1761.76,0.91141,1.71376,0.73311,1.0874,0.86095,0.8433,0.91441,0.62731,0.86872,0.84638,0.92057,0.54609,1.05135,1.64901,0.74747,1.1932,0.008713,0.008713,0.008713
67,1788.14,0.89948,1.71388,0.7253,1.08002,0.89121,0.87053,0.94608,0.6769,0.9014,0.87882,0.9514,0.59257,0.96922,1.632,0.65774,1.12891,0.0086932,0.0086932,0.0086932
68,1814.55,0.89759,1.68605,0.72816,1.07362,0.85866,0.90795,0.94114,0.68447,0.86869,0.91779,0.95194,0.59784,0.95385,1.60966,0.62574,1.11239,0.0086734,0.0086734,0.0086734
69,1841.22,0.89865,1.69164,0.70571,1.07433,0.89174,0.89613,0.94611,0.69071,0.88951,0.89471,0.94876,0.59388,0.9215,1.5725,0.63387,1.09923,0.0086536,0.0086536,0.0086536
70,1867.6,0.89158,1.68927,0.75559,1.07219,0.8879,0.88891,0.95531,0.70022,0.89136,0.8643,0.94927,0.60187,0.90686,1.53697,0.63406,1.07225,0.0086338,0.0086338,0.0086338
71,1894.16,0.89447,1.7042,0.73174,1.0741,0.87919,0.84844,0.93055,0.66884,0.88694,0.85572,0.93609,0.58991,0.94227,1.58056,0.68428,1.10043,0.008614,0.008614,0.008614
72,1920.6,0.88609,1.66733,0.69751,1.0681,0.91592,0.88601,0.95787,0.70646,0.92278,0.89341,0.96236,0.61207,0.91502,1.54714,0.61238,1.07093,0.0085942,0.0085942,0.0085942
73,1947.11,0.90291,1.70457,0.71089,1.08226,0.89534,0.8985,0.9574,0.69618,0.89117,0.89789,0.95262,0.60376,0.93835,1.59786,0.61892,1.10136,0.0085744,0.0085744,0.0085744
74,1973.35,0.87892,1.66994,0.70291,1.07615,0.86476,0.91572,0.95104,0.67705,0.88175,0.91588,0.95248,0.5724,0.9564,1.6475,0.64307,1.12312,0.0085546,0.0085546,0.0085546
75,1999.77,0.8865,1.66219,0.7254,1.07241,0.87522,0.90905,0.95156,0.69307,0.86537,0.90818,0.9511,0.60096,0.93203,1.54007,0.62801,1.09415,0.0085348,0.0085348,0.0085348
76,2026.21,0.90748,1.67324,0.79234,1.07837,0.85209,0.90608,0.94488,0.68165,0.85024,0.90353,0.94146,0.58529,0.92585,1.5929,0.6621,1.10235,0.008515,0.008515,0.008515
77,2053.11,0.87363,1.66936,0.69319,1.06752,0.91058,0.90943,0.96106,0.70559,0.89452,0.94113,0.96791,0.60435,0.89743,1.60607,0.59128,1.08141,0.0084952,0.0084952,0.0084952
78,2079.57,0.87504,1.64553,0.68258,1.07096,0.86735,0.92934,0.95184,0.6932,0.89039,0.90314,0.95555,0.60634,0.90196,1.5021,0.61913,1.08652,0.0084754,0.0084754,0.0084754
79,2106.07,0.87059,1.64088,0.68655,1.0638,0.91157,0.90693,0.95832,0.70834,0.91449,0.90985,0.95952,0.6116,0.89756,1.52925,0.59105,1.07831,0.0084556,0.0084556,0.0084556
80,2132.58,0.85789,1.63169,0.67565,1.06409,0.90961,0.8903,0.95785,0.719,0.90673,0.89604,0.95847,0.61113,0.8844,1.52196,0.58341,1.05959,0.0084358,0.0084358,0.0084358
81,2159.33,0.86644,1.62298,0.67035,1.05613,0.89521,0.89877,0.95837,0.7159,0.89407,0.90017,0.95645,0.6104,0.87487,1.50021,0.60044,1.06329,0.008416,0.008416,0.008416
82,2185.53,0.85361,1.62373,0.66007,1.05115,0.87296,0.90897,0.94987,0.71075,0.88422,0.90587,0.9525,0.61941,0.88093,1.47777,0.59857,1.05374,0.0083962,0.0083962,0.0083962
83,2211.97,0.85757,1.62844,0.66801,1.05485,0.9018,0.92593,0.96163,0.72913,0.90001,0.9407,0.96767,0.62257,0.85771,1.48958,0.55995,1.04168,0.0083764,0.0083764,0.0083764
84,2238.45,0.85953,1.61297,0.65819,1.05592,0.91132,0.90614,0.95532,0.7196,0.89977,0.92137,0.9598,0.61556,0.88184,1.51887,0.57796,1.06953,0.0083566,0.0083566,0.0083566
85,2264.88,0.87486,1.63788,0.67301,1.06569,0.88246,0.9197,0.95571,0.71694,0.88582,0.92726,0.96386,0.62359,0.88581,1.51214,0.58034,1.05948,0.0083368,0.0083368,0.0083368
86,2291.26,0.84224,1.59519,0.65055,1.04735,0.89821,0.91565,0.95713,0.72872,0.89235,0.93475,0.96412,0.62055,0.84253,1.52444,0.56933,1.02809,0.008317,0.008317,0.008317
87,2317.68,0.84895,1.6008,0.66355,1.05765,0.89159,0.91246,0.95451,0.72005,0.89002,0.92722,0.96285,0.60748,0.84926,1.50867,0.56555,1.0464,0.0082972,0.0082972,0.0082972
88,2344.35,0.83141,1.58917,0.64924,1.04251,0.93025,0.91757,0.95951,0.72466,0.92763,0.92481,0.96756,0.63011,0.84961,1.48403,0.55522,1.05822,0.0082774,0.0082774,0.0082774
89,2370.81,0.83352,1.57949,0.63386,1.04465,0.89316,0.9,0.94819,0.71907,0.86559,0.92248,0.95574,0.61096,0.86003,1.49008,0.58448,1.05563,0.0082576,0.0082576,0.0082576
90,2397.03,0.84142,1.62818,0.64791,1.05144,0.91094,0.94225,0.97046,0.73832,0.90698,0.94042,0.97063,0.62498,0.84114,1.46373,0.5541,1.02992,0.0082378,0.0082378,0.0082378
91,2423.61,0.83298,1.57435,0.63762,1.04067,0.91098,0.91709,0.97065,0.74404,0.91655,0.92168,0.97534,0.64383,0.85197,1.43147,0.53457,1.05168,0.008218,0.008218,0.008218
92,2450.18,0.83032,1.57483,0.63662,1.04415,0.90481,0.91934,0.96467,0.75065,0.90885,0.92707,0.97119,0.64144,0.81887,1.43998,0.54875,1.02276,0.0081982,0.0081982,0.0081982
